"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post","identity_auprc_post","recall_at_b_post"
"0.05","6301","mcglr_top2_ogpm_eps_1","eps_1","3.565538282955394","0.17536764705882352","0.16917439548418786","0.13999999999999999"
"0.05","6301","mcglr_instant_top2_ogpm_eps_1","eps_1","3.6546887117273665","0.17058823529411765","0.09290197148470884","0.03294117647058823"
"0.05","6302","mcglr_top2_ogpm_eps_1","eps_1","3.8046156939338234","0.12941176470588234","0.12679122473271012","0.07647058823529411"
"0.05","6302","mcglr_instant_top2_ogpm_eps_1","eps_1","3.7988949495203355","0.13161764705882353","0.09456525854766325","0.050588235294117656"
"0.05","6303","mcglr_top2_ogpm_eps_1","eps_1","3.5667705087100754","0.16930147058823528","0.27609898052290055","0.2686390532544379"
"0.05","6303","mcglr_instant_top2_ogpm_eps_1","eps_1","3.7681103538064398","0.16268382352941177","0.09822276979117135","0.050887573964497036"
"0.05","6304","mcglr_top2_ogpm_eps_1","eps_1","3.6557417701272406","0.16801470588235298","0.2161176879065407","0.24733727810650885"
"0.05","6304","mcglr_instant_top2_ogpm_eps_1","eps_1","3.8330258088953353","0.1542279411764706","0.10139960670529245","0.07248520710059171"
"0.05","6305","mcglr_top2_ogpm_eps_1","eps_1","3.5867779451258044","0.1566176470588235","0.2470213046052979","0.24852941176470592"
"0.05","6305","mcglr_instant_top2_ogpm_eps_1","eps_1","3.674179806428797","0.15606617647058824","0.09115031406308131","0.0669607843137255"
