"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","random","none","2.198711773928474","0.2954044117647059"
"0.05","5001","oracle","none","1.36040864832261","0.5518382352941176"
"0.05","5001","poc_ogpm_eps_1","eps_1","2.101957782577066","0.3088235294117647"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","2.084481817133286","0.32941176470588235"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","2.1445631504058835","0.3088235294117647"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.1823863927055807","0.3022058823529412"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","1.6781528746380527","0.43069852941176473"
"0.05","5002","random","none","2.2871219649034384","0.29944852941176464"
"0.05","5002","oracle","none","1.57434681373484","0.44816176470588237"
"0.05","5002","poc_ogpm_eps_1","eps_1","2.201716911091524","0.3045955882352941"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","2.2644230267580823","0.29522058823529407"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","2.2630660884520584","0.28198529411764706"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.367364249509923","0.2700367647058824"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","1.7438091614667106","0.37573529411764706"
"0.05","5003","random","none","2.314309510062723","0.2641544117647059"
"0.05","5003","oracle","none","1.5225334111381978","0.4496323529411765"
"0.05","5003","poc_ogpm_eps_1","eps_1","2.304185084735646","0.2637867647058823"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","2.4717349094503067","0.24926470588235294"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","2.3673590000937965","0.25661764705882356"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.3756323435727285","0.253125"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","1.7382856481215532","0.3737132352941176"
"0.05","5004","random","none","2.4870250533608833","0.23768382352941178"
"0.05","5004","oracle","none","1.3796350738581489","0.5158088235294118"
"0.05","5004","poc_ogpm_eps_1","eps_1","2.497671127319336","0.22886029411764708"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","2.5892778172212485","0.20496323529411767"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","2.406312434813555","0.2433823529411765"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.448229385824764","0.2514705882352941"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","1.8487655078663545","0.36066176470588235"
"0.05","5005","random","none","2.419966361101936","0.2707720588235294"
"0.05","5005","oracle","none","1.5710156959645887","0.458639705882353"
"0.05","5005","poc_ogpm_eps_1","eps_1","2.3555840716642495","0.2676470588235294"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","2.270390016892377","0.30533088235294115"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","2.4091052167555866","0.2623161764705882"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.3396941269145293","0.28841911764705885"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","1.8019838136785171","0.3740808823529412"
