"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","random","none","2.880006694793701"
"0.05","5001","10","random","none","2.8077070236206056"
"0.05","5001","20","random","none","2.627549934387207"
"0.05","5001","30","random","none","2.863921546936035"
"0.05","5001","40","random","none","3.733881378173828"
"0.05","5001","50","random","none","3.636561965942383"
"0.05","5001","60","random","none","3.85853271484375"
"0.05","5001","70","random","none","3.9862815856933596"
"0.05","5001","80","random","none","4.001985168457031"
"0.05","5001","90","random","none","3.8697242736816406"
"0.05","5001","100","random","none","3.8054039001464846"
"0.05","5001","110","random","none","3.725661849975586"
"0.05","5001","120","random","none","3.973460388183594"
"0.05","5001","130","random","none","3.7691795349121096"
"0.05","5001","140","random","none","4.056269836425781"
"0.05","5001","150","random","none","3.8765228271484373"
"0.05","5001","160","random","none","3.6004581451416016"
"0.05","5001","170","random","none","3.703865814208984"
"0.05","5001","180","random","none","3.6862598419189454"
"0.05","5001","190","random","none","3.8801612854003906"
"0.05","5001","199","random","none","3.7866336822509767"
"0.05","5001","0","oracle","none","2.880006694793701"
"0.05","5001","10","oracle","none","2.8077070236206056"
"0.05","5001","20","oracle","none","2.627549934387207"
"0.05","5001","30","oracle","none","2.8605182647705076"
"0.05","5001","40","oracle","none","3.4347675323486326"
"0.05","5001","50","oracle","none","3.2724935531616213"
"0.05","5001","60","oracle","none","3.3416330337524416"
"0.05","5001","70","oracle","none","3.281039237976074"
"0.05","5001","80","oracle","none","3.2666252136230467"
"0.05","5001","90","oracle","none","3.2017948150634767"
"0.05","5001","100","oracle","none","3.1900474548339846"
"0.05","5001","110","oracle","none","3.0809755325317383"
"0.05","5001","120","oracle","none","3.1558284759521484"
"0.05","5001","130","oracle","none","3.050060176849365"
"0.05","5001","140","oracle","none","3.331808853149414"
"0.05","5001","150","oracle","none","3.1058370590209963"
"0.05","5001","160","oracle","none","2.980845832824707"
"0.05","5001","170","oracle","none","3.039952850341797"
"0.05","5001","180","oracle","none","3.051201820373535"
"0.05","5001","190","oracle","none","3.168844985961914"
"0.05","5001","199","oracle","none","3.089274787902832"
"0.05","5001","0","poc_ogpm_eps_1","eps_1","2.880006694793701"
"0.05","5001","10","poc_ogpm_eps_1","eps_1","2.8077070236206056"
"0.05","5001","20","poc_ogpm_eps_1","eps_1","2.627549934387207"
"0.05","5001","30","poc_ogpm_eps_1","eps_1","2.8508200645446777"
"0.05","5001","40","poc_ogpm_eps_1","eps_1","3.707144927978516"
"0.05","5001","50","poc_ogpm_eps_1","eps_1","3.6626949310302734"
"0.05","5001","60","poc_ogpm_eps_1","eps_1","3.8450546264648438"
"0.05","5001","70","poc_ogpm_eps_1","eps_1","3.9390743255615233"
"0.05","5001","80","poc_ogpm_eps_1","eps_1","3.951953125"
"0.05","5001","90","poc_ogpm_eps_1","eps_1","3.793761444091797"
"0.05","5001","100","poc_ogpm_eps_1","eps_1","3.770818328857422"
"0.05","5001","110","poc_ogpm_eps_1","eps_1","3.651620101928711"
"0.05","5001","120","poc_ogpm_eps_1","eps_1","3.862726593017578"
"0.05","5001","130","poc_ogpm_eps_1","eps_1","3.643839645385742"
"0.05","5001","140","poc_ogpm_eps_1","eps_1","3.9156646728515625"
"0.05","5001","150","poc_ogpm_eps_1","eps_1","3.754179000854492"
"0.05","5001","160","poc_ogpm_eps_1","eps_1","3.5182964324951174"
"0.05","5001","170","poc_ogpm_eps_1","eps_1","3.6463638305664063"
"0.05","5001","180","poc_ogpm_eps_1","eps_1","3.6965103149414062"
"0.05","5001","190","poc_ogpm_eps_1","eps_1","3.8525733947753906"
"0.05","5001","199","poc_ogpm_eps_1","eps_1","3.793461227416992"
"0.05","5001","0","oort_official_ogpm_eps_1","eps_1","2.880006694793701"
"0.05","5001","10","oort_official_ogpm_eps_1","eps_1","2.8077070236206056"
"0.05","5001","20","oort_official_ogpm_eps_1","eps_1","2.627549934387207"
"0.05","5001","30","oort_official_ogpm_eps_1","eps_1","2.863921546936035"
"0.05","5001","40","oort_official_ogpm_eps_1","eps_1","3.733881378173828"
"0.05","5001","50","oort_official_ogpm_eps_1","eps_1","3.636561965942383"
"0.05","5001","60","oort_official_ogpm_eps_1","eps_1","3.8332229614257813"
"0.05","5001","70","oort_official_ogpm_eps_1","eps_1","3.9448867797851563"
