"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","poc_ogpm_eps_1","eps_1","0.1127120863266585","0.07549019607843138"
"0.05","5001","oort_official_ogpm_eps_1","eps_1","0.1494968944945837","0.09588235294117647"
"0.05","5001","hics2024_source_adapted_ogpm_eps_1","eps_1","0.09160456262077514","0.054313725490196085"
"0.05","5001","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.13143877769713286","0.05176470588235295"
"0.05","5001","mcglr_top2_ogpm_eps_1","eps_1","0.6436798076232924","0.576764705882353"
"0.05","5002","poc_ogpm_eps_1","eps_1","0.12216115278425269","0.07840236686390532"
"0.05","5002","oort_official_ogpm_eps_1","eps_1","0.12732498333680226","0.09585798816568045"
"0.05","5002","hics2024_source_adapted_ogpm_eps_1","eps_1","0.1272360532897853","0.017455621301775148"
"0.05","5002","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.1249073664977217","0.054437869822485205"
"0.05","5002","mcglr_top2_ogpm_eps_1","eps_1","0.6975827798525888","0.5827416173570019"
"0.05","5003","poc_ogpm_eps_1","eps_1","0.1377234109696886","0.07764705882352942"
"0.05","5003","oort_official_ogpm_eps_1","eps_1","0.0939706291508822","0.06823529411764706"
"0.05","5003","hics2024_source_adapted_ogpm_eps_1","eps_1","0.06694592773541258","0.022647058823529412"
"0.05","5003","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.15074464806778448","0.09294117647058824"
"0.05","5003","mcglr_top2_ogpm_eps_1","eps_1","0.6044707820363189","0.5611764705882353"
"0.05","5004","poc_ogpm_eps_1","eps_1","0.09287719668050426","0.08549019607843138"
"0.05","5004","oort_official_ogpm_eps_1","eps_1","0.08342791676294674","0.047058823529411764"
"0.05","5004","hics2024_source_adapted_ogpm_eps_1","eps_1","0.12141171112082974","0.01607843137254902"
"0.05","5004","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.11365634207873092","0.11764705882352941"
"0.05","5004","mcglr_top2_ogpm_eps_1","eps_1","0.6351477406387609","0.5952941176470588"
"0.05","5005","poc_ogpm_eps_1","eps_1","0.12538471453189481","0.07529411764705883"
"0.05","5005","oort_official_ogpm_eps_1","eps_1","0.15394307633298268","0.10588235294117647"
"0.05","5005","hics2024_source_adapted_ogpm_eps_1","eps_1","0.07473011181208564","0.03058823529411765"
"0.05","5005","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","0.12692033953527052","0.07882352941176471"
"0.05","5005","mcglr_top2_ogpm_eps_1","eps_1","0.6865624479491421","0.608235294117647"
