"changed_fraction","seed","policy","epsilon","identity_auprc_post","recall_at_b_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.07832825175047663","0.04411764705882353"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.10136376867726438","0.05411764705882353"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.07288181040439787","0.05917159763313609"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.10849127694366313","0.06982248520710059"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.06267157845806098","0.05764705882352942"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.1517651950887632","0.12441176470588235"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.048200777050386924","0.036470588235294116"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.0976194715550222","0.05529411764705883"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","0.21699552909910894","0.04970588235294118"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","0.09579157150789835","0.06352941176470589"
