"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","3.8192531641791847"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","3.845873956119313"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8202584491056553"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.8128190208883845"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","3.8176657059613404"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","3.77016040577608"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","3.7943855622235465"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","3.8125579833984373"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7925071211422186"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7884301914888265"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","3.7926891607396747"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","3.7401247557471784"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","3.869827867956723"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","3.8356922093559715"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8647092903361595"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.819778100182029"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","3.869397556080538"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","3.7596958693336036"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","3.8832078877617326"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","3.8328077540678134"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.8831654268152573"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.8045482298907105"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","3.883439905503217"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","3.7574230081894817"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","3.7944247975068928"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","3.803915539909812"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","3.7930226943072154"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","3.7892308403463923"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","3.793292483161478"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","3.7523200091193702"
