"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.326156234741211"
"0.05","5001","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4064334869384765"
"0.05","5001","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4120233535766602"
"0.05","5001","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4981992721557618"
"0.05","5001","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2084365844726563"
"0.05","5001","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1991138458251953"
"0.05","5001","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2988601684570313"
"0.05","5001","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2146915435791015"
"0.05","5001","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.092715835571289"
"0.05","5001","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1568618774414063"
"0.05","5001","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.261203384399414"
"0.05","5001","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0312856674194335"
"0.05","5001","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.133275604248047"
"0.05","5001","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.074474334716797"
"0.05","5001","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1534079551696776"
"0.05","5001","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3287609100341795"
"0.05","5001","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2797992706298826"
"0.05","5001","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2082286834716798"
"0.05","5001","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.882868194580078"
"0.05","5001","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1822940826416017"
"0.05","5001","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0477264404296873"
"0.05","5001","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.326156234741211"
"0.05","5001","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.4064334869384765"
"0.05","5001","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.4120233535766602"
"0.05","5001","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.5342803955078126"
"0.05","5001","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.147510528564453"
"0.05","5001","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2170150756835936"
"0.05","5001","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.3213424682617188"
"0.05","5001","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2078453063964845"
"0.05","5001","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.204984664916992"
"0.05","5001","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.060160255432129"
"0.05","5001","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2406578063964844"
"0.05","5001","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.8445068359375"
"0.05","5001","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2418594360351562"
"0.05","5001","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0885713577270506"
"0.05","5001","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.986365509033203"
"0.05","5001","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2986915588378904"
"0.05","5001","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.184219169616699"
"0.05","5001","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2403518676757814"
"0.05","5001","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.161609649658203"
"0.05","5001","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.3735300064086915"
"0.05","5001","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2327693939208983"
"0.05","5002","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.2952272415161132"
"0.05","5002","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4051586151123048"
"0.05","5002","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.403061866760254"
"0.05","5002","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3680880546569825"
"0.05","5002","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.064337158203125"
"0.05","5002","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0637292861938477"
"0.05","5002","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1469646453857423"
"0.05","5002","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.266900634765625"
"0.05","5002","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.025364303588867"
"0.05","5002","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.9967533111572267"
"0.05","5002","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0945411682128907"
"0.05","5002","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.104781723022461"
"0.05","5002","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0739585876464846"
