"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.163775962941787"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.2226092955645393"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.162000257828656"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.179528875911937"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.1659711837768554"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.1327883215511543"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.077812935324276"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.026976490020752"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0774111355052276"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0106556668001065"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.0818526885088753"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","1.9484691227183621"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.1641291898839614"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.101497846491196"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1683649736292225"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0796223359949444"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.1661074245677274"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.0848921551423913"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.196603236478918"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.086705376120175"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1933623650494747"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0537236746619727"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.1918343880597284"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.0113240802989285"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","2.224543004877427"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","2.1596281808965347"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2263380948235008"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.14905883845161"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","2.2278187359080595"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","2.0854370986714086"
