"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.162000257828656","0.2626838235294118"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.179528875911937","0.25790441176470585"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0774111355052276","0.27481617647058826"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0106556668001065","0.29191176470588237"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1683649736292225","0.24724264705882354"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0796223359949444","0.263235294117647"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1933623650494747","0.24191176470588235"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0537236746619727","0.2654411764705882"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2263380948235008","0.21452205882352943"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.14905883845161","0.24430147058823531"
