"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.6174448013305665"
"0.05","5001","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.467902374267578"
"0.05","5001","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.5353307723999023"
"0.05","5001","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0049885749816894"
"0.05","5001","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.741793823242188"
"0.05","5001","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.975788116455078"
"0.05","5001","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.63787841796875"
"0.05","5001","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.057777404785156"
"0.05","5001","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.173953247070313"
"0.05","5001","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.607244873046875"
"0.05","5001","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.43807373046875"
"0.05","5001","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.079438781738281"
"0.05","5001","120","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.904080963134765"
"0.05","5001","130","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.700422668457032"
"0.05","5001","140","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.694203186035156"
"0.05","5001","150","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.566972351074218"
"0.05","5001","160","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.799725341796875"
"0.05","5001","170","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.6233360290527346"
"0.05","5001","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.016255187988281"
"0.05","5001","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.572735595703125"
"0.05","5001","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.888230895996093"
"0.05","5001","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.6174448013305665"
"0.05","5001","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.467902374267578"
"0.05","5001","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.5353307723999023"
"0.05","5001","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9122241973876952"
"0.05","5001","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.856202697753906"
"0.05","5001","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.9106903076171875"
"0.05","5001","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.384197998046875"
"0.05","5001","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","7.232878112792969"
"0.05","5001","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.869772338867188"
"0.05","5001","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.467308044433594"
"0.05","5001","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.332101440429687"
"0.05","5001","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.9450927734375"
"0.05","5001","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.530320739746093"
"0.05","5001","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.434674072265625"
"0.05","5001","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.960231018066406"
"0.05","5001","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.20757827758789"
"0.05","5001","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.073748779296875"
