"changed_fraction","seed","policy","epsilon","mean_changed_loss_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","6.7193848553825815"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","6.674943138571347"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.733994742000804"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.42274102603688"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","6.74589745016659"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","6.0926746144014245"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","6.919834899902344"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","6.681582417207606"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.920058396283318"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.482756356632008"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","6.905309026381549"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","6.096324112836053"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","6.989157822552849"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","6.2689074348000915"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.957662829230814"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.188815487132352"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","7.006330826703241"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","6.068665179084328"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","7.2480769437902115"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","6.855025886086857"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.244228048885569"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.635769114774816"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","7.226381279440487"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","6.343033285701976"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_0.5","eps_0.5","6.382357653449564"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_0.5","eps_0.5","6.15416062298943"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.374111355052274"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.103511585908778"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_2","eps_2","6.379735789579503"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_2","eps_2","6.011849347282858"
