"changed_fraction","seed","policy","epsilon","mean_changed_loss_post","mean_changed_acc_post"
"0.05","5001","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.733994742000804","0.060845588235294124"
"0.05","5001","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.42274102603688","0.06378676470588235"
"0.05","5002","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.920058396283318","0.06231617647058824"
"0.05","5002","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.482756356632008","0.06397058823529411"
"0.05","5003","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.957662829230814","0.05404411764705882"
"0.05","5003","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.188815487132352","0.06011029411764707"
"0.05","5004","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","7.244228048885569","0.03547794117647059"
"0.05","5004","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.635769114774816","0.03529411764705882"
"0.05","5005","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.374111355052274","0.06470588235294118"
"0.05","5005","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.103511585908778","0.06838235294117646"
